genomeID,LIN,lin_parent,idx,filePath
2,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",1,0,EPI_ISL_16984363.fasta
3,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0",2,16,EPI_ISL_16984345.fasta
4,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0",2,16,EPI_ISL_16984385.fasta
5,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0",2,16,EPI_ISL_16984368.fasta
8,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0",5,17,EPI_ISL_16984340.fasta
6,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0",2,15,EPI_ISL_16984366.fasta
7,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0",2,16,EPI_ISL_16984389.fasta
9,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0",7,17,EPI_ISL_16984380.fasta
